indice_tiempo,demanda_total,demanda_residencial,comercio_e_industria,grandes_usuarios,temperatura_promedio,potencia_maxima,ede_tucuman,edelap_sa,edenor_distribuidor,edesal_distribuidor,edestesa_emp_dist__este,edesur_distribuidor,emp_de_energia_de_rio_negro_sa,emp_dist_energ_atlantica,emp_de_energia_de_la_rioja_sa,emp_dist_energia_de_salta,emp_electric_misiones_sa,empresa_dis_estero_sa,empresa_jujenia_de_energia_sa,energia_de_catamarca_sa,energia_de_entre_rios_sa,energia_de_mendoza_sa,energia_san_juan_sa_exedessa,epec_distribuidor,epen_distribuidor,epesf_distribuidor,recursos_y_energia_formosa_sa,secheep,spse_santa_cruz
2002-06-01,6634.9,,,,10.7,13428.0,,,,,,,,,,,,,,,,,,,,,,,
2002-07-01,6891.22,,,,11.469,13405.0,,,,,,,,,,,,,,,,,,,,,,,
2002-08-01,6514.58,,,,14.242,12908.0,,,,,,,,,,,,,,,,,,,,,,,
2002-09-01,6136.42,,,,14.787,12392.0,,,,,,,,,,,,,,,,,,,,,,,
2002-10-01,6344.78,,,,19.9,12394.0,,,,,,,,,,,,,,,,,,,,,,,
2002-11-01,6384.03,,,,21.39,12828.0,,,,,,,,,,,,,,,,,,,,,,,
2002-12-01,6597.0,,,,22.758,12939.0,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,7009.41,,,,23.81,13774.0,,,,,,,,,,,,,,,,,,,,,,,
2003-02-01,6364.91,,,,23.296,13900.0,,,,,,,,,,,,,,,,,,,,,,,
2003-03-01,6874.26,,,,22.403,13721.0,,,,,,,,,,,,,,,,,,,,,,,
2003-04-01,6280.38,,,,17.387,12670.0,,,,,,,,,,,,,,,,,,,,,,,
2003-05-01,6773.8,,,,15.284,13218.0,,,,,,,,,,,,,,,,,,,,,,,
2003-06-01,6814.53,,,,13.043,13567.0,,,,,,,,,,,,,,,,,,,,,,,
2003-07-01,7321.71,,,,11.081,14359.0,,,,,,,,,,,,,,,,,,,,,,,
2003-08-01,7188.13,,,,12.068,14331.0,,,,,,,,,,,,,,,,,,,,,,,
2003-09-01,6737.75,,,,14.623,13570.0,,,,,,,,,,,,,,,,,,,,,,,
2003-10-01,6906.96,,,,18.955,13384.0,,,,,,,,,,,,,,,,,,,,,,,
2003-11-01,6833.97,,,,20.303,13461.0,,,,,,,,,,,,,,,,,,,,,,,
2003-12-01,7107.56,,,,21.539,14185.0,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,7620.56,,,,25.071,14350.0,,,,,,,,,,,,,,,,,,,,,,,
2004-02-01,6846.54,,,,23.186,14207.0,,,,,,,,,,,,,,,,,,,,,,,
2004-03-01,7544.99,,,,23.555,14655.0,,,,,,,,,,,,,,,,,,,,,,,
2004-04-01,7011.91,,,,19.9,14732.0,,,,,,,,,,,,,,,,,,,,,,,
2004-05-01,7325.25,,,,13.3,14257.0,,,,,,,,,,,,,,,,,,,,,,,
2004-06-01,7259.35,,,,13.4,14512.0,,,,,,,,,,,,,,,,,,,,,,,
2004-07-01,7576.6,,,,12.4,14789.0,,,,,,,,,,,,,,,,,,,,,,,
2004-08-01,7076.07,,,,13.8,14848.0,,,,,,,,,,,,,,,,,,,,,,,
2004-09-01,6956.97,,,,16.1,13611.0,,,,,,,,,,,,,,,,,,,,,,,
2004-10-01,7087.33,,,,17.5,13569.0,,,,,,,,,,,,,,,,,,,,,,,
2004-11-01,7127.32,,,,19.8,14708.0,,,,,,,,,,,,,,,,,,,,,,,
2004-12-01,7739.52,,,,23.3,15032.0,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,7983.28,2717.678,3750.6119999999996,1514.9900000000002,25.872,15129.0,,,,,,,,,,,,,,,,,,,,,,,
2005-02-01,7248.88,2298.744,3479.876,1470.26,25.593,15717.0,,,,,,,,,,,,,,,,,,,,,,,
2005-03-01,7689.91,2384.287,3690.0429999999997,1615.5800000000002,21.237,15211.0,,,,,,,,,,,,,,,,,,,,,,,
2005-04-01,7213.14,2184.768,3492.1420000000003,1536.23,17.223,14552.0,,,,,,,,,,,,,,,,,,,,,,,
2005-05-01,7668.55,2479.291,3597.299,1591.96,14.939,14900.0,,,,,,,,,,,,,,,,,,,,,,,
2005-06-01,7719.71,2679.416,3498.7039999999997,1541.59,14.3,15699.0,,,,,,,,,,,,,,,,,,,,,,,
2005-07-01,8061.62,2896.148,3628.562,1536.91,12.4,15792.0,,,,,,,,,,,,,,,,,,,,,,,
2005-08-01,7953.5,2737.632,3587.5080000000003,1628.3600000000001,13.0,15648.0,,,,,,,,,,,,,,,,,,,,,,,
2005-09-01,7508.4,2454.398,3449.9919999999993,1604.01,14.3,15485.0,,,,,,,,,,,,,,,,,,,,,,,
2005-10-01,7403.31,2266.127,3495.353000000001,1641.83,17.2,14799.0,,,,,,,,,,,,,,,,,,,,,,,
2005-11-01,7784.34,2415.443,3642.277,1726.6200000000001,22.0,16143.0,,,,,,,,,,,,,,,,,,,,,,,
2005-12-01,8098.31,2572.563,3790.5070000000005,1735.24,22.3,15657.0,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,7957.9,2830.373,3428.727,1698.8,24.6,15831.0,,,,,,,,,,,,,,,,,,,,,,,
2006-02-01,7395.7,2515.396,3261.454,1618.85,24.3,16753.0,,,,,,,,,,,,,,,,,,,,,,,
2006-03-01,8037.6,2474.69,3540.41,2022.5,20.6,16335.0,,,,,,,,,,,,,,,,,,,,,,,
2006-04-01,7555.6,2258.193,3318.147,1979.2600000000002,19.1,15898.0,,,,,,,,,,,,,,,,,,,,,,,
2006-05-01,8116.1,2696.051,3416.579000000001,2003.4699999999998,14.1,16876.0,,,,,,,,,,,,,,,,,,,,,,,
2006-06-01,8248.9,2963.715,3374.4949999999994,1910.69,13.2,17037.0,,,,,,,,,,,,,,,,,,,,,,,
2006-07-01,8313.5,2993.796,3392.594,1927.11,14.3,17395.0,,,,,,,,,,,,,,,,,,,,,,,
2006-08-01,8497.0,3107.201,3472.059,1917.74,12.4,17309.0,,,,,,,,,,,,,,,,,,,,,,,
2006-09-01,7828.4,2614.886,3291.476999999999,1922.037,15.6,17097.0,,,,,,,,,,,,,,,,,,,,,,,
2006-10-01,8025.1,2530.829,3503.241000000001,1991.03,19.8,17252.0,,,,,,,,,,,,,,,,,,,,,,,
2006-11-01,7998.1,2551.555,3489.625,1956.92,20.5,17237.0,,,,,,,,,,,,,,,,,,,,,,,
2006-12-01,8838.9,3071.673,3802.9469999999997,1964.2800000000002,24.4,17323.0,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,8743.2,3079.471,3735.829000000001,1927.9,24.6,17073.0,,,,,,,,,,,,,,,,,,,,,,,
2007-02-01,8158.2,2790.054,3574.9959999999996,1793.15,24.6,17654.0,,,,,,,,,,,,,,,,,,,,,,,
2007-03-01,8637.8,2853.558,3795.3819999999996,1988.86,22.2,17400.0,,,,,,,,,,,,,,,,,,,,,,,
2007-04-01,8010.4,2610.215,3525.2549999999997,1874.9299999999998,18.8,17881.0,,,,,,,,,,,,,,,,,,,,,,,
2007-05-01,8789.5,3161.771,3731.9389999999994,1895.79,12.7,18279.0,,,,,,,,,,,,,,,,,,,,,,,
2007-06-01,8851.4,3576.113,3535.967,1739.3200000000002,10.9,18345.0,,,,,,,,,,,,,,,,,,,,,,,
2007-07-01,9024.5,3807.798,3564.032,1652.6699999999998,9.3,17743.0,,,,,,,,,,,,,,,,,,,,,,,
2007-08-01,9106.5,3726.224,3589.3959999999997,1790.88,10.1,17669.0,,,,,,,,,,,,,,,,,,,,,,,
2007-09-01,8082.6,2838.982,3370.0480000000007,1873.57,17.0,16590.0,,,,,,,,,,,,,,,,,,,,,,,
2007-10-01,8370.4,2810.846,3654.304,1905.25,19.2,16745.0,,,,,,,,,,,,,,,,,,,,,,,
2007-11-01,8254.4,2717.576,3591.714,1945.11,18.8,17291.0,,,,,,,,,,,,,,,,,,,,,,,
2007-12-01,8921.4,3138.571,3815.519,1967.31,23.6,17786.0,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,9175.1,3420.283,3811.277000000001,1943.54,25.6,17885.0,,,,,,,,,,,,,,,,,,,,,,,
2008-02-01,8728.8,3073.664,3705.4059999999986,1949.73,25.3,17930.0,,,,,,,,,,,,,,,,,,,,,,,
2008-03-01,8594.5,2894.605,3678.1950000000006,2021.6999999999998,22.1,17697.0,,,,,,,,,,,,,,,,,,,,,,,
2008-04-01,8286.6,2764.962,3526.868000000001,1994.77,19.0,17129.0,,,,,,,,,,,,,,,,,,,,,,,
2008-05-01,8777.8,3102.396,3625.433999999999,2049.97,15.7,18670.0,,,,,,,,,,,,,,,,,,,,,,,
2008-06-01,9209.8,3699.403,3582.686999999999,1927.71,11.8,19126.0,,,,,,,,,,,,,,,,,,,,,,,
2008-07-01,9127.1,3626.348,3476.5820000000003,2024.1699999999998,14.3,18389.0,,,,,,,,,,,,,,,,,,,,,,,
2008-08-01,9025.3,3438.115,3488.4049999999997,2098.7799999999997,13.0,18071.0,,,,,,,,,,,,,,,,,,,,,,,
2008-09-01,8587.6,3061.343,3375.9170000000004,2150.34,14.6,17615.0,,,,,,,,,,,,,,,,,,,,,,,
2008-10-01,8477.2,2898.784,3417.156000000001,2161.26,18.1,16652.0,,,,,,,,,,,,,,,,,,,,,,,
2008-11-01,8914.9,3159.108,3681.4319999999993,2074.36,24.8,18441.0,,,,,,,,,,,,,,,,,,,,,,,
2008-12-01,9053.4,3471.033,3691.1270000000004,1891.2399999999998,24.3,17571.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,9086.1,3533.299,3658.9610000000002,1893.8400000000001,25.8,17351.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-01,8241.6,3105.44,3404.18,1731.98,24.6,18596.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-01,8955.6,3336.438,3769.532,1849.63,23.6,17218.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-01,8104.7,2813.071,3391.869,1899.7599999999998,19.6,16963.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-01,8435.3,3047.803,3510.8569999999995,1876.6399999999999,16.4,17780.0,,,,,,,,,,,,,,,,,,,,,,,
2009-06-01,9114.2,3721.346,3529.784000000001,1863.0700000000002,11.6,18948.0,,,,,,,,,,,,,,,,,,,,,,,
2009-07-01,9508.0,4052.004,3612.156,1843.8400000000001,10.8,19566.0,,,,,,,,,,,,,,,,,,,,,,,
2009-08-01,8738.4,3502.447,3400.9429999999993,1835.01,15.6,17862.0,,,,,,,,,,,,,,,,,,,,,,,
2009-09-01,8350.2,3023.058,3474.772000000001,1852.3700000000001,13.6,17895.0,,,,,,,,,,,,,,,,,,,,,,,
2009-10-01,8420.7,3027.54,3471.5500000000006,1921.6100000000001,17.7,18023.0,,,,,,,,,,,,,,,,,,,,,,,
2009-11-01,8644.0,3065.794,3643.166,1935.04,21.1,17426.0,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,9023.6,3336.758,3780.4820000000004,1906.3600000000001,22.6,18422.0,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,9740.0,3931.898,3934.7519999999995,1873.3500000000001,26.1,19370.0,,,,,,,,,,,,,,,,,,,,,,,
2010-02-01,8773.9,3361.184,3579.0859999999993,1833.63,24.2,19332.0,,,,,,,,,,,,,,,,,,,,,,,
2010-03-01,9518.9,3540.492,3911.7779999999993,2066.63,23.1,18408.0,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,8434.1,2875.625,3598.0850000000005,1960.3899999999999,17.2,16937.0,,,,,,,,,,,,,,,,,,,,,,,
2010-05-01,8866.4,3296.137,3631.2729999999992,1938.99,15.2,18228.0,,,,,,,,,,,,,,,,,,,,,,,
2010-06-01,9367.0,3825.755,3646.075,1895.17,12.5,18770.0,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,10081.1,4346.177,3794.323000000001,1940.6,10.7,20396.0,,,,,,,,,,,,,,,,,,,,,,,
2010-08-01,9733.1,4043.618,3702.0519999999997,1987.43,11.9,20843.0,,,,,,,,,,,,,,,,,,,,,,,
2010-09-01,8755.9,3237.488,3594.4820000000004,1923.9299999999998,15.3,19346.0,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,8567.7,3018.133,3608.487000000001,1941.08,17.2,17211.0,,,,,,,,,,,,,,,,,,,,,,,
2010-11-01,8834.6,3155.481,3715.3890000000006,1963.73,20.9,18353.0,,,,,,,,,,,,,,,,,,,,,,,
2010-12-01,10125.7,4020.361,4161.809000000001,1943.53,22.5,20209.0,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,10231.0,4215.174,4056.286,1959.54,25.8,20531.0,,,,,,,,,,,,,,,,,,,,,,,
2011-02-01,9129.0,3363.751,3678.8689999999997,2086.38,24.0,20171.0,,,,,,,,,,,,,,,,,,,,,,,
2011-03-01,9863.0,3622.66,3960.4300000000003,2279.91,22.5,20913.0,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,8917.8,3051.537,3751.862999999999,2114.4,18.9,18309.0,,,,,,,,,,,,,,,,,,,,,,,
2011-05-01,9560.4,3561.464,3833.5359999999996,2165.4,14.8,18765.0,,,,,,,,,,,,,,,,,,,,,,,
2011-06-01,10135.8,4211.284,3837.3059999999996,2087.21,12.1,21024.0,,,,,,,,,,,,,,,,,,,,,,,
2011-07-01,10562.6,4613.925,3860.3550000000005,2088.3199999999997,11.2,21403.0,,,,,,,,,,,,,,,,,,,,,,,
2011-08-01,10311.9,4289.444,3880.285999999999,2142.17,11.5,21564.0,,,,,,,,,,,,,,,,,,,,,,,
2011-09-01,9089.5,3342.414,3644.4159999999993,2102.67,16.2,18648.0,,,,,,,,,,,,,,,,,,,,,,,
2011-10-01,9062.4,3138.281,3781.749,2142.37,17.3,17565.0,,,,,,,,,,,,,,,,,,,,,,,
2011-11-01,9505.9,3485.202,3950.6079999999993,2070.09,22.6,19508.0,,,,,,,,,,,,,,,,,,,,,,,
2011-12-01,10118.6,3969.237,4178.3330000000005,1971.03,22.9,20513.0,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,10806.8,4505.197835,4381.242165,1920.36,26.2,21309.0,,,,,,,,,,,,,,,,,,,,,,,
2012-02-01,10089.2,4043.826495000003,4020.409504999998,2024.964,24.8,21949.0,,,,,,,,,,,,,,,,,,,,,,,
2012-03-01,10178.0,3799.9514179999987,4161.5005820000015,2216.548,21.7,20095.0,,,,,,,,,,,,,,,,,,,,,,,
2012-04-01,8970.0,3123.399968000001,3781.6000319999985,2065.0,18.1,18264.0,,,,,,,,,,,,,,,,,,,,,,,
2012-05-01,9601.7,3606.52943,3804.17057,2191.0,16.9,18472.0,,,,,,,,,,,,,,,,,,,,,,,
2012-06-01,10297.0,4287.290236000002,3856.7097639999984,2153.0,12.2,20978.0,,,,,,,,,,,,,,,,,,,,,,,
2012-07-01,11071.7,4950.420933999997,3998.4820660000037,2122.797,9.9,20912.0,,,,,,,,,,,,,,,,,,,,,,,
2012-08-01,10408.3,4352.486085999999,3859.701914,2196.112,13.7,19995.0,,,,,,,,,,,,,,,,,,,,,,,
2012-09-01,9338.6,3512.345189999997,3653.954810000004,2172.3,15.6,18626.0,,,,,,,,,,,,,,,,,,,,,,,
2012-10-01,9608.0,3532.0674189999995,3792.432581000001,2283.5,18.3,17834.0,,,,,,,,,,,,,,,,,,,,,,,
2012-11-01,10031.4,3759.790749000001,3986.909250999998,2284.7,22.4,20091.0,,,,,,,,,,,,,,,,,,,,,,,
2012-12-01,10824.3,4285.4703819999995,4311.929618,2226.9,24.5,20921.0,,,,,,,,,,,,,,,,,,,,,,,
2013-01-01,11134.119344999996,4538.4461459999975,4403.673198999998,2192.0,25.1,21982.0,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,9834.160006999999,3961.686119000001,3923.9738879999977,1948.5,24.1,22169.0,,,,,,,,,,,,,,,,,,,,,,,
2013-03-01,9756.129308000001,3612.835111000003,3899.1941969999984,2244.1,20.3,19523.0,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,9307.334163,3239.3807020000017,3852.153460999997,2215.8,19.1,18443.0,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,10232.825394000005,3919.6689959999994,4015.2563980000054,2297.9,15.0,20035.0,,,,,,,,,,,,,,,,,,,,,,,
2013-06-01,10360.537193999995,4409.513940000003,3836.7232539999923,2114.3,12.8,21270.0,,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,11156.173393,5088.495112000001,3929.6782809999977,2138.0,12.0,22552.0,,,,,,,,,,,,,,,,,,,,,,,
2013-08-01,10904.479243000002,4782.603022999998,3915.176220000004,2206.7,12.7,21773.0,,,,,,,,,,,,,,,,,,,,,,,
2013-09-01,10195.872995000005,4072.686172000001,3909.2868230000036,2213.9,14.4,21711.0,,,,,,,,,,,,,,,,,,,,,,,
2013-10-01,10045.715632000001,3744.4781970000026,3967.437434999999,2333.8,18.5,19484.0,,,,,,,,,,,,,,,,,,,,,,,
2013-11-01,10015.701652,3680.7364479999987,4096.265204000001,2238.7,21.1,20436.0,,,,,,,,,,,,,,,,,,,,,,,
2013-12-01,12291.286493000003,5338.633582,4775.0529110000025,2177.6,27.0,23794.0,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,12004.342368000001,5350.967240000001,4501.975128,2151.4,25.9,24034.0,261.62569,204.71994400000003,1922.8806319999999,119.06310400000001,85.47327800000001,1621.9482209999999,111.03567699999999,259.423668,121.42424400000002,154.52937400000002,188.97086100000004,126.46891500000001,80.13010399999999,89.900861,287.022917,373.214013,183.72491000000002,834.5096599999999,76.98521400000001,965.415634,132.913227,265.43483699999996,32.668969000000004
2014-02-01,9823.968201000001,3883.77533,3875.392871000001,2064.8,23.0,21507.0,214.32627399999998,165.53549600000002,1451.3970009999998,86.86931700000001,56.243905,1243.061038,114.22193700000001,220.252858,90.199606,135.87621600000003,179.17362400000002,114.205207,68.189694,73.368425,211.861456,259.14025100000003,125.694551,661.6581799999999,68.925505,723.6489700000001,119.104259,235.94828600000002,34.384486
2014-03-01,9789.798788999999,3666.8686810000004,3944.0301079999986,2178.9,20.7,19105.0,190.60786599999997,174.37100300000003,1496.242732,83.169881,55.310022999999994,1274.5235550000002,119.87083,213.65336,81.809809,140.86604499999999,169.822991,91.04300700000002,65.848816,68.30952799999999,199.47441100000003,247.004701,109.79768,644.5750129999999,74.43228500000001,691.3052490000001,98.30927,188.98751800000002,41.81690100000001
2014-04-01,9595.374350000002,3542.1631350000025,3869.9112149999996,2183.2999999999997,18.3,19537.0,178.857749,176.488634,1488.576271,83.914777,55.117131,1239.4787999999999,103.666055,201.47072900000003,71.78416800000001,132.030163,155.78542499999998,88.842348,61.845752999999995,62.865548,191.971886,239.997821,102.078824,643.4668899999999,67.59758900000001,688.94802,89.74712000000001,182.271965,43.068396
2014-05-01,10409.105006,4182.488527,4007.2164789999993,2219.4,15.0,20933.0,188.950006,209.89302899999998,1777.9774729999997,94.82550700000002,54.379142,1433.3538999999998,109.61996400000001,217.016369,76.925426,138.12527799999998,128.27892,85.878577,64.176431,69.653458,200.844913,259.100636,116.24972899999999,708.8984009999999,74.030272,748.047064,80.83649100000002,167.505864,45.841761
2014-06-01,10901.714975999997,4790.674033999999,3995.1409419999986,2115.9,12.4,21716.0,201.969593,234.29223399999998,2012.854524,103.703513,52.835084,1599.8454870000003,106.25634899999999,218.012417,84.279805,145.488499,102.12627400000001,88.93645799999999,64.755961,76.72048299999999,207.49040100000002,268.172167,131.909391,758.174469,74.070042,798.6152950000001,75.199265,165.774521,47.692626000000004
2014-07-01,11363.942101999997,5115.928827999999,4121.013273999998,2127.0,12.4,21950.0,211.24058800000003,245.920223,2123.7586570000003,109.898767,55.755856,1691.6446389999999,108.73675300000001,228.55102,91.54750800000001,154.442056,86.55358500000001,97.292708,71.33577100000001,83.69034,216.93675199999998,284.00835900000004,142.281505,789.066702,77.47536699999999,839.0654249999999,79.35522300000001,181.00714799999997,48.027226
2014-08-01,10490.682389,4454.936700999999,3946.345688000001,2089.4,15.3,20947.0,193.59715000000003,217.26617,1836.092837,102.218775,56.959792,1483.2106569999999,103.36515599999998,220.69518000000002,87.769836,141.353693,97.92831699999999,90.658943,66.12005400000001,73.46502199999999,206.21697200000003,274.63376800000003,122.89292800000001,725.132046,74.295427,762.5969620000001,79.710053,181.85791,42.832902000000004
2014-09-01,9807.544190999999,3746.9346960000007,3942.8094949999986,2117.8,16.0,19419.0,188.93863000000002,189.567847,1591.9759000000001,95.26643600000001,59.149786,1311.6850020000002,96.66485899999999,207.10105,84.515326,138.747862,128.039137,91.303958,65.884497,69.058237,189.39372500000002,263.581474,112.03237299999999,665.510351,71.73566,689.195186,82.93717699999999,172.10620699999998,45.44718700000001
2014-10-01,10706.493141,4186.567587,4233.925554000001,2286.0,20.2,22147.0,249.92409,187.27728600000003,1650.9117939999999,102.178185,68.110492,1381.3717080000001,96.154597,210.21273899999997,105.71697200000001,164.72344400000003,135.796905,126.457004,76.411456,84.36375,214.640812,293.38359199999996,131.70387800000003,740.0399960000001,70.59918,775.172301,116.468847,236.00772000000003,44.47207
2014-11-01,10344.736671999995,3928.614070999999,4181.122600999996,2235.0,20.9,22055.0,223.170375,176.014227,1571.7203940000002,103.50170599999997,69.888496,1317.2061749999998,92.73194399999998,201.534832,105.38136000000002,150.844928,161.415649,111.83038099999999,74.58127900000001,79.730707,213.480158,297.892411,140.442819,701.5922349999998,68.389913,765.6614179999999,102.34889299999999,212.780666,41.505316
2014-12-01,11229.377819999996,4594.222427999998,4422.155391999998,2213.0,23.4,23104.0,241.328994,197.165641,1770.893145,109.002807,77.085544,1491.503676,101.616501,228.541228,113.71988100000002,159.40497100000002,177.931015,124.73061100000001,80.696206,86.31044899999999,243.544823,321.30418799999995,168.11207700000003,754.228863,73.344385,841.32818,122.78787299999999,246.088891,42.071658000000006
2015-01-01,11706.190093000003,5096.405804999999,4485.881622000003,2123.9026660000004,24.3,23949.0,257.43228600000003,197.343005,1855.852136,112.48124299999999,83.759399,1536.4443260000003,118.60078200000001,257.494218,119.00380799999999,167.044777,144.272549,150.808495,82.706117,88.01443400000001,276.070203,362.407228,187.65971,812.465571,80.409115,924.1251139999999,132.037641,276.584836,40.386661
2015-02-01,10665.086620999999,4438.153482,4195.116418999998,2031.8167200000012,24.7,23573.0,227.302584,189.58576499999998,1707.985804,93.399851,61.712585,1420.045899,119.24667899999999,235.327855,100.628974,148.52098999999998,184.748883,124.87954600000002,73.58270900000001,77.72053400000001,249.892135,282.342942,147.347887,690.0409380000001,73.901468,811.9302340000002,121.24958299999999,251.28667,36.65114500000001
2015-03-01,11548.527072000003,4823.967700000001,4487.951318000001,2236.608054,22.9,23409.0,237.30299100000005,204.626881,1870.4712450000002,102.817606,65.50392699999999,1550.857781,132.228008,236.96734899999998,101.27785,160.349205,199.970423,127.402728,74.97307400000001,74.959228,252.52469200000002,297.340145,160.19827600000002,771.5727150000001,83.799954,875.7063589999999,126.53111700000001,263.638286,43.460947
2015-04-01,10026.434760000002,3756.852843000003,4112.087065999998,2157.494851000001,20.6,20116.0,209.09938999999997,178.31115499999999,1538.041729,90.35691,57.278243,1299.088101,111.77721799999999,209.74596800000003,82.280099,142.96187799999998,159.207467,106.524741,67.43577600000002,72.369997,210.62875800000003,260.323726,119.233775,678.079929,75.377217,746.8219359999999,89.97766700000001,199.05091700000003,46.697342000000006
2015-05-01,10467.633693000003,4224.672651000002,4096.946370000002,2146.0146719999993,16.8,20450.0,201.915258,208.97880499999997,1761.867788,96.07173200000001,56.610917,1422.0746909999998,116.404725,222.40596899999997,79.615837,146.37910300000001,155.513859,95.36220200000001,68.35116400000001,71.42527799999999,207.33901799999998,276.226057,122.393221,707.880221,79.57960800000001,745.8304319999999,79.56585199999999,181.197793,51.361831
2015-06-01,11254.419666999998,4941.2755899999975,4222.780597000003,2090.3634799999986,13.5,23529.0,214.655272,240.38481399999998,2068.717387,108.237354,58.664341,1625.084879,113.805597,226.948687,90.543949,150.913618,148.170179,99.84172600000001,70.439689,79.35978700000001,220.00886700000004,293.59027000000003,141.19994,773.3498159999999,80.09321700000001,814.001109,79.21663000000001,186.400079,53.069451
2015-07-01,11907.361918999997,5513.160881999997,4299.603255000001,2094.597781999999,12.7,22997.0,233.53502000000003,260.810309,2247.438446,118.48015600000002,62.860607,1757.698666,117.03489900000002,246.289108,99.73363,165.297839,118.649856,109.31244699999999,76.694304,89.37773800000001,234.98479500000002,315.39633100000003,156.03511500000002,830.8626540000001,84.02450200000001,871.5895330000001,80.494939,189.023823,54.35702500000001
2015-08-01,11130.262807999998,4797.705121999999,4221.518891999996,2111.0387940000014,15.0,22363.0,216.92453400000002,233.23558300000002,1990.8070940000002,107.22237,59.619935,1585.268157,113.288315,235.72279500000002,93.444539,151.382082,126.332811,100.73103,72.62078299999999,75.817227,217.599027,299.347607,136.367166,759.536116,82.718395,799.7427299999998,86.657053,193.62968300000003,52.634392000000005
2015-09-01,10552.903241000004,4350.513945000001,4068.358096000004,2134.031199999999,14.6,21398.0,199.219454,219.893294,1837.1396200000001,102.49804799999998,62.090239000000004,1485.937335,106.63481699999998,222.379381,88.25089800000002,142.74201,145.79971899999998,95.15625600000001,68.295199,72.102239,204.972872,263.082424,120.59366399999999,703.121753,77.23145199999999,727.418486,87.497539,172.15261900000002,48.544646
